timestamp	p1	p2
1	4	75
1	16	26
1	96	65
1	38	31
1	70	97
1	21	67
1	84	64
1	72	34
1	94	35
1	105	5
1	63	52
1	15	84
1	1	91
1	34	68
1	103	20
1	34	13
1	79	85
1	13	7
1	20	43
1	102	23
1	77	18
1	35	94
1	82	58
1	97	12
1	75	69
1	30	60
1	5	31
1	102	35
1	21	16
1	58	72
1	58	105
1	10	4
1	26	13
1	4	0
1	28	49
1	99	92
1	107	88
1	85	57
1	44	39
1	14	96
1	42	101
1	18	13
1	37	12
1	95	82
1	65	11
1	107	0
1	63	102
1	11	82
1	15	8
1	53	10
1	101	55
1	16	98
1	77	50
1	97	100
1	63	16
1	98	108
1	82	21
1	80	32
1	72	42
1	97	96
1	71	19
1	56	79
1	11	78
1	48	18
1	28	23
1	91	68
1	73	52
1	0	71
1	109	80
1	82	47
1	71	79
1	42	105
1	58	91
1	30	56
1	95	17
1	95	59
1	16	1
1	90	75
1	58	8
1	83	81
1	4	30
1	48	48
1	24	95
1	7	11
1	28	96
1	95	80
1	112	105
1	14	65
1	13	59
1	95	3
1	73	32
1	103	62
1	105	32
1	35	9
1	66	22
1	53	112
1	3	34
1	50	77
1	91	29
1	65	86
1	97	76
1	82	72
1	99	94
1	18	86
1	48	89
1	93	79
1	25	12
1	47	87
1	107	52
1	35	86
1	111	17
1	55	70
1	9	98
1	139	200
1	160	168
1	193	164
1	181	114
1	130	206
1	140	190
1	147	210
1	122	215
1	200	204
1	158	201
1	208	147
1	147	165
1	164	137
1	130	139
1	126	177
1	160	167
1	122	208
1	181	128
1	198	180
1	125	213
1	207	148
1	168	210
1	164	137
1	145	143
1	121	160
1	170	137
1	146	143
1	210	209
1	114	173
1	125	173
1	168	198
1	119	202
1	132	146
1	123	160
1	195	152
1	162	113
1	196	149
1	127	133
1	184	137
1	113	200
1	178	151
1	148	176
1	139	158
1	127	117
1	200	166
1	121	168
1	156	149
1	182	148
1	211	182
1	192	117
1	204	159
1	204	158
1	155	191
1	178	158
1	174	180
1	186	198
1	168	213
1	166	171
1	153	208
1	191	214
1	123	170
1	150	141
1	151	145
1	203	206
1	185	186
1	151	202
1	196	142
1	171	215
1	189	169
1	131	161
1	181	129
1	150	196
1	172	166
1	210	152
1	201	191
1	121	158
1	116	159
1	214	172
1	161	155
1	123	195
1	168	165
1	151	179
1	139	128
1	118	129
1	130	128
1	135	165
1	122	155
1	201	201
1	162	118
1	152	190
1	183	199
1	185	113
1	117	123
1	148	153
1	147	117
1	173	113
1	188	134
1	117	159
1	132	171
1	151	174
1	161	128
1	122	192
1	140	212
1	288	252
1	280	290
1	286	286
1	317	320
1	285	219
1	300	266
1	266	315
1	235	304
1	322	263
1	276	318
1	271	268
1	237	226
1	310	277
1	230	320
1	249	222
1	296	232
1	301	229
1	221	301
1	271	302
1	302	306
1	293	306
1	274	233
1	282	314
1	223	314
1	313	232
1	274	232
1	236	262
1	301	311
1	291	218
1	276	265
1	325	289
1	234	304
1	241	270
1	298	234
1	248	302
1	219	322
1	246	242
1	250	325
1	247	246
1	247	261
1	251	273
1	312	217
1	309	238
1	300	282
1	302	234
1	290	245
1	217	241
1	266	246
1	277	265
1	233	270
1	298	247
1	240	225
1	217	230
1	307	223
1	220	221
1	243	254
1	270	302
1	277	219
1	218	229
1	233	233
1	239	283
1	217	243
1	295	307
1	262	284
1	308	265
1	283	262
1	217	256
1	253	238
1	293	264
1	319	262
1	274	306
1	222	278
1	326	258
1	254	319
1	292	238
1	286	326
1	305	267
1	233	234
1	223	295
1	301	289
1	228	230
1	275	224
1	308	275
1	293	293
1	282	301
1	318	313
1	273	219
1	282	242
1	301	225
1	241	302
1	316	260
1	288	305
1	266	227
1	301	232
1	224	309
1	267	269
1	265	235
1	262	243
1	291	298
1	229	266
1	281	292
1	256	316
1	290	272
1	315	271
1	315	261
1	262	228
1	263	324
1	269	326
1	303	308
1	319	217
1	264	264
2	377	14
2	179	377
2	179	377
2	87	20
2	365	179
2	14	179
2	365	365
2	179	179
2	14	179
2	179	87
2	20	365
2	345	312
2	63	20
2	193	225
2	63	365
2	225	377
2	179	377
2	179	377
2	171	248
2	245	155
2	132	248
2	186	260
2	344	132
2	220	155
2	102	74
2	270	171
2	85	102
2	102	344
2	74	102
2	186	245
2	260	74
2	165	74
2	260	85
2	171	220
2	220	260
2	99	165
2	186	74
2	186	245
2	165	102
2	102	165
2	173	112
2	176	173
2	196	208
2	60	376
2	196	60
2	263	208
2	122	208
2	104	176
2	176	176
2	60	172
2	173	122
2	172	112
2	263	5
2	376	60
2	5	208
2	173	104
2	339	104
2	122	196
2	172	172
2	224	41
2	41	286
2	368	286
2	33	41
2	368	33
2	286	33
2	33	286
2	175	175
2	127	295
2	229	127
2	175	217
2	175	295
2	295	295
2	217	175
2	127	175
2	229	295
2	96	216
2	96	327
2	19	45
2	164	268
2	352	45
2	134	45
2	96	352
2	45	19
2	216	45
2	216	45
2	214	164
2	268	134
2	241	358
2	268	164
2	96	216
2	268	352
2	327	19
2	39	216
2	45	268
2	103	103
2	36	103
2	281	361
2	109	65
2	36	234
2	65	234
2	234	103
2	65	264
2	235	265
2	235	361
2	265	264
2	36	36
2	103	109
2	65	36
2	65	361
2	120	142
2	126	55
2	200	142
2	126	167
2	116	44
2	142	373
2	55	126
2	116	167
2	120	373
2	55	55
2	200	204
2	126	120
2	142	120
2	0	113
2	373	183
2	183	200
2	113	142
2	204	200
2	44	44
2	302	7
2	209	272
2	76	227
2	114	378
2	188	197
2	236	283
2	367	93
2	141	106
2	106	57
2	302	271
2	197	317
2	290	258
2	308	106
2	213	197
2	184	97
2	161	141
2	326	226
2	296	313
2	209	22
2	158	341
2	258	170
2	341	378
2	308	291
2	76	326
2	22	341
2	56	320
2	162	240
2	56	271
2	38	166
2	378	341
2	240	140
2	316	221
2	236	97
2	76	302
2	23	57
2	47	195
2	227	166
2	282	290
2	141	93
2	302	22
2	272	169
2	341	76
2	272	57
2	232	308
2	7	341
2	56	221
2	195	76
2	195	117
2	106	188
2	201	166
2	226	307
2	106	378
2	301	307
2	316	90
2	147	22
2	213	153
2	205	240
2	316	201
2	254	195
2	169	301
2	140	114
2	189	57
2	307	147
2	189	240
2	367	283
2	166	309
2	162	147
2	97	291
2	166	329
2	227	218
2	240	218
2	144	308
2	378	161
2	144	141
2	366	76
2	302	189
2	76	341
2	296	114
2	212	7
2	271	325
2	378	290
2	341	47
2	57	271
2	76	118
2	189	7
2	170	325
2	378	170
2	144	366
2	272	378
2	76	23
2	283	317
2	189	97
2	313	189
2	378	328
2	106	271
2	190	309
2	7	212
2	201	212
2	147	213
2	258	23
2	308	212
2	56	290
2	209	166
2	366	162
2	272	76
2	56	328
2	316	271
2	114	106
2	201	88
2	271	90
2	190	195
2	313	283
2	367	161
2	38	114
2	307	205
2	279	189
2	307	205
2	309	209
2	7	341
2	153	283
2	313	76
2	218	307
2	254	227
2	240	117
2	212	195
2	232	140
2	209	367
2	258	279
2	279	254
2	258	166
2	118	212
2	328	258
2	118	291
2	226	302
2	189	272
2	97	57
2	201	227
2	205	97
2	141	232
2	147	38
2	302	227
2	329	166
2	161	226
2	320	218
2	355	105
2	51	2
2	34	2
2	10	210
2	348	105
2	194	314
2	250	59
2	115	355
2	32	370
2	297	82
2	59	340
2	2	49
2	59	15
2	210	82
2	35	250
2	210	98
2	46	10
2	355	105
2	255	262
2	115	255
2	210	35
2	297	210
2	348	15
2	284	297
2	284	15
2	10	10
2	46	10
2	287	43
2	250	288
2	250	297
2	348	314
2	59	262
2	287	250
2	194	210
2	340	340
2	82	49
2	231	15
2	287	2
2	35	98
2	355	314
2	287	348
2	297	35
2	231	242
2	105	43
2	348	371
2	82	34
2	374	2
2	374	51
2	2	371
2	98	34
2	31	105
2	43	287
2	297	371
2	10	98
2	10	49
2	314	11
2	237	255
2	371	370
2	231	89
2	31	297
2	89	314
2	51	115
2	105	67
2	35	59
2	46	16
2	288	67
2	319	284
2	43	255
2	89	15
2	35	210
2	371	11
2	355	89
2	32	371
2	231	355
2	46	194
2	231	371
2	98	2
2	59	31
2	34	11
2	242	32
2	128	181
2	362	379
2	40	52
2	81	181
2	379	52
2	6	379
2	362	129
2	81	81
2	42	362
2	128	249
2	129	379
2	379	1
2	249	379
2	40	129
2	1	206
2	249	40
2	129	42
2	129	40
2	128	379
2	362	81
2	40	21
2	249	81
2	21	181
2	379	128
2	1	379
2	379	42
2	129	362
2	206	42
2	75	354
2	354	61
2	75	61
2	61	354
2	354	86
2	61	354
2	86	86
2	86	75
2	80	349
2	80	80
2	349	180
2	349	80
2	349	349
2	349	180
3	28	307
3	130	126
3	66	126
3	207	115
3	18	379
3	20	328
3	203	222
3	191	177
3	47	320
3	288	170
3	250	338
3	208	66
3	110	370
3	380	202
3	174	280
3	296	114
3	199	115
3	283	133
3	92	225
3	105	34
3	181	196
3	222	8
3	40	324
3	54	178
3	202	18
3	105	70
3	37	201
3	19	189
3	183	322
3	70	232
3	20	112
3	172	308
3	371	320
3	191	53
3	237	187
3	328	357
3	19	187
3	166	219
3	10	250
3	214	170
3	340	76
3	222	33
3	54	283
3	328	313
3	53	133
3	296	244
3	304	25
3	189	28
3	245	232
3	214	73
3	289	183
3	237	282
3	152	70
3	40	25
3	373	52
3	152	276
3	103	104
3	137	212
3	95	270
3	109	22
3	358	140
3	353	41
3	156	302
3	77	312
3	356	112
3	164	367
3	245	4
3	196	38
3	173	140
3	203	270
3	47	244
3	187	125
3	245	51
3	10	302
3	250	115
3	95	66
3	109	255
3	176	379
3	222	256
3	27	214
3	164	239
3	214	106
3	354	338
3	187	8
3	135	356
3	308	76
3	208	371
3	354	126
3	28	73
3	299	367
3	207	95
3	142	79
3	89	27
3	282	183
3	144	64
3	171	135
3	237	174
3	237	183
3	112	130
3	95	135
3	249	54
3	193	308
3	282	250
3	20	10
3	110	373
3	262	115
3	321	320
3	164	76
3	135	198
3	183	148
3	321	38
3	63	370
3	356	187
3	202	328
3	328	25
3	19	148
3	304	357
3	276	63
3	299	126
3	142	304
3	110	321
3	270	21
3	89	28
3	41	351
3	273	187
3	313	312
3	196	357
3	20	308
3	130	152
3	79	73
3	371	148
3	358	181
3	4	133
3	280	22
3	321	53
3	194	47
3	302	89
3	40	70
3	198	202
3	193	52
3	289	201
3	321	54
3	357	37
3	279	33
3	18	92
3	0	373
3	324	299
3	103	288
3	178	40
3	19	171
3	207	202
3	244	179
3	19	248
3	125	219
3	140	203
3	10	310
3	296	110
3	19	79
3	133	10
3	367	133
3	202	307
3	38	208
3	37	307
3	196	140
3	202	137
3	207	90
3	19	321
3	115	110
3	208	212
3	379	244
3	321	187
3	36	312
3	262	25
3	203	244
3	225	95
3	213	356
3	121	24
3	54	73
3	144	33
3	249	255
3	73	353
3	181	90
3	177	261
3	257	173
3	305	313
3	63	255
3	196	177
3	92	371
3	284	219
3	302	373
3	193	28
3	338	40
3	356	248
3	232	257
3	357	256
3	283	199
3	10	177
3	279	189
3	239	110
3	219	173
3	262	73
3	34	177
3	199	183
3	121	22
3	54	24
3	8	249
3	276	262
3	174	104
3	189	142
3	364	70
3	187	351
3	125	364
3	282	199
3	313	53
3	232	166
3	8	212
3	199	140
3	214	28
3	36	18
3	40	28
3	191	272
3	370	305
3	37	282
3	20	232
3	187	284
3	109	79
3	76	380
3	256	296
3	307	95
3	166	77
3	106	196
3	77	103
3	279	203
3	20	280
3	171	239
3	176	289
3	39	213
3	35	156
3	213	364
3	130	237
3	261	22
3	187	310
3	144	103
3	24	140
3	208	140
3	338	22
3	351	126
3	356	304
3	126	312
3	305	8
3	137	321
3	261	307
3	262	309
3	24	232
3	202	202
3	194	262
3	304	244
3	10	194
3	79	307
3	245	256
3	63	201
3	53	110
3	35	202
3	256	310
3	288	104
3	34	135
3	244	308
3	95	92
3	64	41
3	142	177
3	170	196
3	199	280
3	166	36
3	114	156
3	273	152
3	248	89
3	232	324
3	173	356
3	307	137
3	92	172
3	270	237
3	171	173
3	376	357
3	307	348
3	63	239
3	354	36
3	22	207
3	225	244
3	156	170
3	296	193
3	24	358
3	273	27
3	51	239
3	73	38
3	66	225
3	340	54
3	170	289
3	21	142
3	273	309
3	336	207
3	174	40
3	380	66
3	296	207
3	95	140
3	22	38
3	112	248
3	164	128
3	219	356
3	189	225
3	219	348
3	320	89
3	18	283
3	244	244
3	105	283
3	38	174
3	340	252
3	89	27
3	252	302
3	284	18
3	135	357
3	0	179
3	214	125
3	262	212
3	379	203
3	39	70
3	348	130
3	92	0
3	288	225
3	53	312
3	176	73
3	310	304
3	64	276
3	380	181
3	252	183
3	302	196
3	38	222
3	171	324
3	135	0
3	177	176
3	338	114
3	302	114
3	170	110
3	328	53
3	273	174
3	307	248
3	39	358
3	351	128
3	170	152
3	338	252
3	152	338
3	39	54
3	199	199
3	125	173
3	174	252
3	373	92
3	304	283
3	178	79
3	103	370
3	106	239
3	261	54
3	340	128
3	325	40
3	41	232
3	76	52
3	25	34
3	112	53
3	170	248
3	110	35
3	202	79
3	77	191
3	174	321
3	51	256
3	19	208
3	338	357
3	90	191
3	356	245
3	130	37
3	320	22
3	27	261
3	166	27
