timestamp	p1	p2
1	54	12
1	36	23
1	92	67
1	92	23
1	67	16
1	67	75
1	77	23
1	49	37
1	85	76
1	86	15
1	47	91
1	80	21
1	31	32
1	85	25
1	57	37
1	21	6
1	26	50
1	53	8
1	87	68
1	57	25
1	55	15
1	70	52
1	10	18
1	18	31
1	3	12
1	7	90
1	31	26
1	80	77
1	15	18
1	37	70
1	34	24
1	47	17
1	74	69
1	48	85
1	81	43
1	62	65
1	66	20
1	47	90
1	8	23
1	78	49
1	40	50
1	49	66
1	87	76
1	32	49
1	45	64
1	64	53
1	52	66
1	35	23
1	24	26
1	43	41
1	91	48
1	60	79
1	42	32
1	11	13
1	50	63
1	20	80
1	92	59
1	53	58
1	12	75
1	77	62
1	36	26
1	70	78
1	10	68
1	63	27
1	25	80
1	27	6
1	31	48
1	24	68
1	16	9
1	67	39
1	13	43
1	20	27
1	80	50
1	54	0
1	84	62
1	69	91
1	31	90
1	73	32
1	29	59
1	59	86
1	69	9
1	21	73
1	76	30
1	17	67
1	91	93
1	21	72
1	70	31
1	74	91
1	39	41
1	35	37
1	30	11
1	45	48
1	14	46
1	74	27
1	111	167
1	184	146
1	100	186
1	195	185
1	194	169
1	96	154
1	146	143
1	160	164
1	166	152
1	135	112
1	97	100
1	156	176
1	182	112
1	165	113
1	124	125
1	144	118
1	154	131
1	136	110
1	111	97
1	146	183
1	96	187
1	94	126
1	106	155
1	119	170
1	141	154
1	153	101
1	121	176
1	154	128
1	128	154
1	147	100
1	160	117
1	158	136
1	103	187
1	196	105
1	184	121
1	114	139
1	110	114
1	144	188
1	115	132
1	186	134
1	160	134
1	117	163
1	98	109
1	191	127
1	166	133
1	195	178
1	124	198
1	164	119
1	185	112
1	194	149
1	174	146
1	176	159
1	101	123
1	131	185
1	182	135
1	191	167
1	118	139
1	197	95
1	158	154
1	170	192
1	94	131
1	173	106
1	196	195
1	113	118
1	114	159
1	170	187
1	191	116
1	151	131
1	181	189
1	133	119
1	179	175
1	165	121
1	180	177
1	140	105
1	171	128
1	163	155
1	107	193
1	169	182
1	191	126
1	194	125
1	142	118
1	156	199
1	108	198
1	132	117
1	189	123
1	134	108
1	183	120
1	133	152
1	190	144
1	114	125
1	179	122
1	109	129
1	196	176
1	133	137
1	142	128
1	177	115
1	111	104
1	195	189
1	100	188
1	107	154
1	139	106
1	191	163
1	102	153
1	194	109
1	126	156
1	140	156
1	249	244
1	282	214
1	265	239
1	242	281
1	258	281
1	301	287
1	220	228
1	259	275
1	254	287
1	273	200
1	239	241
1	290	205
1	205	291
1	228	302
1	298	306
1	227	266
1	282	239
1	212	282
1	288	216
1	291	203
1	232	286
1	217	299
1	282	257
1	232	233
1	229	301
1	213	239
1	263	237
1	233	287
1	268	203
1	299	247
1	239	298
1	272	210
1	283	293
1	304	304
1	301	298
1	301	237
1	246	241
1	252	277
1	200	237
1	277	287
1	277	297
1	237	230
1	283	274
1	264	217
1	241	228
1	231	261
1	226	303
1	306	237
1	220	298
1	267	272
1	249	271
1	305	249
1	285	257
1	227	226
1	292	212
1	291	271
1	281	238
1	294	217
1	278	226
1	206	272
1	236	235
1	305	250
1	257	296
1	219	291
1	240	254
1	236	234
1	207	225
1	202	216
1	283	256
1	238	246
1	269	277
1	207	232
1	273	213
1	284	297
1	220	242
1	229	304
1	274	238
1	204	271
1	214	228
1	287	230
1	304	206
1	227	263
1	275	208
1	247	290
1	243	275
1	252	271
1	206	218
1	227	208
1	304	235
1	224	278
1	269	290
1	203	243
1	225	291
1	245	204
1	235	260
1	260	305
1	235	299
1	268	204
1	303	235
1	286	243
1	204	288
1	221	221
1	227	219
1	283	232
1	229	301
1	210	277
1	200	297
2	222	182
2	183	299
2	299	133
2	39	173
2	173	285
2	119	119
2	183	149
2	182	299
2	133	173
2	173	149
2	173	119
2	170	183
2	39	285
2	299	173
2	173	262
2	170	173
2	133	39
2	173	183
2	162	90
2	169	90
2	62	162
2	162	162
2	162	62
2	137	169
2	90	62
2	62	169
2	169	162
2	200	216
2	314	178
2	252	276
2	252	276
2	31	219
2	27	216
2	216	311
2	252	43
2	172	49
2	145	314
2	27	219
2	219	311
2	196	82
2	196	276
2	196	276
2	311	82
2	311	172
2	49	27
2	172	311
2	43	172
2	145	307
2	307	311
2	43	311
2	27	27
2	219	27
2	82	172
2	82	31
2	72	4
2	339	4
2	161	111
2	290	161
2	143	339
2	72	239
2	4	114
2	260	339
2	111	114
2	290	9
2	260	72
2	72	339
2	72	72
2	350	9
2	114	290
2	339	284
2	339	161
2	114	339
2	350	284
2	68	298
2	68	298
2	94	77
2	73	77
2	94	68
2	131	0
2	68	77
2	32	278
2	278	179
2	77	278
2	32	73
2	298	77
2	68	32
2	189	278
2	189	298
2	0	68
2	337	282
2	130	255
2	130	130
2	165	337
2	255	282
2	337	124
2	337	337
2	337	337
2	282	282
2	347	327
2	24	100
2	236	324
2	324	267
2	324	347
2	24	15
2	347	327
2	100	236
2	327	267
2	236	24
2	324	236
2	12	15
2	275	236
2	347	327
2	15	275
2	24	236
2	46	246
2	104	104
2	88	213
2	104	352
2	46	348
2	164	246
2	134	352
2	246	134
2	242	302
2	246	348
2	352	317
2	134	317
2	317	317
2	46	104
2	88	134
2	348	213
2	317	352
2	246	213
2	64	345
2	230	186
2	321	321
2	250	96
2	122	120
2	96	214
2	186	321
2	340	57
2	353	197
2	47	353
2	64	197
2	321	181
2	96	250
2	139	269
2	40	230
2	283	300
2	35	230
2	56	35
2	277	185
2	136	64
2	181	64
2	122	56
2	287	97
2	64	197
2	97	96
2	263	231
2	349	340
2	205	102
2	301	35
2	233	340
2	328	102
2	233	296
2	156	263
2	91	184
2	197	47
2	59	102
2	197	91
2	230	277
2	301	148
2	233	287
2	277	91
2	231	321
2	91	321
2	47	301
2	59	190
2	184	300
2	40	340
2	56	147
2	156	185
2	102	92
2	269	120
2	55	296
2	154	91
2	205	263
2	47	92
2	184	197
2	35	56
2	190	97
2	190	177
2	154	102
2	66	47
2	263	353
2	223	250
2	223	96
2	120	344
2	92	263
2	184	287
2	340	23
2	23	122
2	344	66
2	197	139
2	349	286
2	97	223
2	181	190
2	321	231
2	184	338
2	263	250
2	214	287
2	296	18
2	277	96
2	286	40
2	354	300
2	66	56
2	154	353
2	177	55
2	56	150
2	147	57
2	136	136
2	57	147
2	147	190
2	353	34
2	139	340
2	184	18
2	349	190
2	349	354
2	287	181
2	286	156
2	102	296
2	57	197
2	287	147
2	269	55
2	283	300
2	120	354
2	283	181
2	223	150
2	102	345
2	97	64
2	353	154
2	57	349
2	269	97
2	122	57
2	136	328
2	147	300
2	122	92
2	286	321
2	286	177
2	18	328
2	230	23
2	152	128
2	146	292
2	129	333
2	75	74
2	79	74
2	333	176
2	121	155
2	192	210
2	261	329
2	210	151
2	159	309
2	13	155
2	329	210
2	247	174
2	291	336
2	50	19
2	128	221
2	110	79
2	192	304
2	304	209
2	105	105
2	22	121
2	85	171
2	210	221
2	159	22
2	79	217
2	209	19
2	152	155
2	135	17
2	14	336
2	257	129
2	50	192
2	171	110
2	291	159
2	50	308
2	291	174
2	291	63
2	152	304
2	291	174
2	174	135
2	309	261
2	13	309
2	218	128
2	171	176
2	333	152
2	308	151
2	171	13
2	247	152
2	159	261
2	256	74
2	26	22
2	292	19
2	210	176
2	333	129
2	26	118
2	85	75
2	152	85
2	50	174
2	19	128
2	74	26
2	159	159
2	14	329
2	209	118
2	247	210
2	209	292
2	146	217
2	309	17
2	192	171
2	221	292
2	135	63
2	63	146
2	304	75
2	50	74
2	210	247
2	256	126
2	103	304
2	146	261
2	126	17
2	110	22
2	110	292
2	26	79
2	103	105
2	256	308
2	129	159
2	333	13
2	110	63
2	329	221
2	304	146
2	329	26
2	217	304
2	221	329
2	209	155
2	74	329
2	13	129
2	160	138
2	204	204
2	125	163
2	245	225
2	191	245
2	125	315
2	138	160
2	316	2
2	357	225
2	315	243
2	67	253
2	163	38
2	67	245
2	243	243
2	204	67
2	5	41
2	5	5
2	48	5
2	167	315
2	253	163
2	138	316
2	67	41
2	138	245
2	5	138
2	225	138
2	204	2
2	167	245
2	48	357
2	191	191
2	245	204
2	253	5
2	225	316
2	2	67
2	243	315
2	167	138
2	315	253
2	48	253
2	243	204
2	138	48
2	2	225
2	204	225
2	316	357
2	264	264
2	109	264
2	264	109
2	264	109
2	37	224
2	224	224
2	220	224
2	220	220
2	220	220
2	224	37
3	140	54
3	284	140
3	236	10
3	16	65
3	22	132
3	356	127
3	340	227
3	36	207
3	126	161
3	164	140
3	340	229
3	22	90
3	22	151
3	177	284
3	92	342
3	92	90
3	165	141
3	340	356
3	286	229
3	271	14
3	78	78
3	61	173
3	15	63
3	316	145
3	20	139
3	224	341
3	253	294
3	73	161
3	141	134
3	95	95
3	140	175
3	78	241
3	165	255
3	304	130
3	240	100
3	356	7
3	229	216
3	343	293
3	95	294
3	165	349
3	272	351
3	156	224
3	307	77
3	164	63
3	33	76
3	130	90
3	351	114
3	72	272
3	251	126
3	140	285
3	351	157
3	63	236
3	354	354
3	10	213
3	272	246
3	199	242
3	240	271
3	100	57
3	73	79
3	165	234
3	349	76
3	72	16
3	100	90
3	90	252
3	263	294
3	179	213
3	36	76
3	284	175
3	236	153
3	29	339
3	106	161
3	294	134
3	341	128
3	299	299
3	304	127
3	286	230
3	246	182
3	57	78
3	340	3
3	151	234
3	164	284
3	178	173
3	77	20
3	299	145
3	165	342
3	10	66
3	271	224
3	173	335
3	207	165
3	16	246
3	114	56
3	294	164
3	292	4
3	349	182
3	160	213
3	36	132
3	304	72
3	354	193
3	213	59
3	129	67
3	141	177
3	272	231
3	272	179
3	286	178
3	271	67
3	304	64
3	151	32
3	185	178
3	95	74
3	100	340
3	236	349
3	72	14
3	160	231
3	139	120
3	187	288
3	348	316
3	251	14
3	226	246
3	242	213
3	173	326
3	335	240
3	129	127
3	62	241
3	92	213
3	22	353
3	224	326
3	74	3
3	267	267
3	79	165
3	251	139
3	253	353
3	185	339
3	299	36
3	3	74
3	236	100
3	7	356
3	157	113
3	130	63
3	177	130
3	227	179
3	288	234
3	207	353
3	125	255
3	231	271
3	294	10
3	335	65
3	178	36
3	162	246
3	141	16
3	100	234
3	74	57
3	199	343
3	224	265
3	343	146
3	341	178
3	165	62
3	20	129
3	20	56
3	129	224
3	4	36
3	276	3
3	198	156
3	145	4
3	354	350
3	213	310
3	227	33
3	127	139
3	20	57
3	341	185
3	198	66
3	341	187
3	65	175
3	16	54
3	255	193
3	165	14
3	310	326
3	342	342
3	316	106
3	207	213
3	79	293
3	294	304
3	56	304
3	220	157
3	114	241
3	120	351
3	106	162
3	263	160
3	127	199
3	130	343
3	67	63
3	90	67
3	32	339
3	350	231
3	267	178
3	134	246
3	100	351
3	241	56
3	95	29
3	193	348
3	125	54
3	251	182
3	242	156
3	12	349
3	349	128
3	356	106
3	251	63
3	349	316
3	140	164
3	12	353
3	339	61
3	276	73
3	73	224
3	161	36
3	285	263
3	130	98
3	335	293
3	10	299
3	132	216
3	67	72
3	242	349
3	299	285
3	284	164
3	3	263
3	234	63
3	16	234
3	63	92
3	140	114
3	236	348
3	67	153
3	240	98
3	354	164
3	348	15
3	145	3
3	310	16
3	253	162
3	12	146
