id	age	apartment	home	family	office	school
0	40	0	-1	0	7	-1
1	11	0	-1	0	-1	2
2	8	0	-1	0	-1	1
3	71	0	-1	0	-1	-1
4	70	0	-1	0	-1	-1
5	40	0	-1	1	2	-1
6	12	0	-1	1	-1	2
7	2	0	-1	1	-1	0
8	74	0	-1	1	-1	-1
9	36	0	-1	2	-1	-1
10	8	0	-1	2	-1	1
11	6	0	-1	2	-1	1
12	68	0	-1	2	-1	-1
13	71	0	-1	2	-1	-1
14	37	0	-1	3	0	-1
15	10	0	-1	3	-1	1
16	10	0	-1	3	-1	1
17	71	0	-1	3	-1	-1
18	72	0	-1	3	-1	-1
19	38	0	-1	4	5	-1
20	48	0	-1	4	0	-1
21	13	0	-1	4	-1	2
22	3	0	-1	4	-1	0
23	4	0	-1	4	-1	0
24	83	0	-1	4	-1	-1
25	81	0	-1	4	-1	-1
26	46	0	-1	5	-1	-1
27	39	0	-1	5	-1	-1
28	76	0	-1	5	-1	-1
29	80	0	-1	5	-1	-1
30	44	0	-1	6	-1	-1
31	10	0	-1	6	-1	1
32	7	0	-1	6	-1	1
33	39	0	-1	7	3	-1
34	5	0	-1	7	-1	1
35	9	0	-1	7	-1	1
36	32	0	-1	8	6	-1
37	1	0	-1	8	-1	-1
38	3	0	-1	8	-1	0
39	46	0	-1	9	5	-1
40	11	0	-1	9	-1	2
41	48	0	-1	10	3	-1
42	13	0	-1	10	-1	2
43	5	0	-1	10	-1	1
44	31	0	-1	11	7	-1
45	39	0	-1	11	5	-1
46	6	0	-1	11	-1	1
47	4	0	-1	11	-1	0
48	39	0	-1	12	-1	-1
49	9	0	-1	12	-1	1
50	42	0	-1	13	-1	-1
51	7	0	-1	13	-1	1
52	13	0	-1	13	-1	2
53	74	0	-1	13	-1	-1
54	76	0	-1	13	-1	-1
55	31	0	-1	14	7	-1
56	1	0	-1	14	-1	0
57	2	0	-1	14	-1	0
58	38	0	-1	15	-1	-1
59	7	0	-1	15	-1	1
60	48	0	-1	16	2	-1
61	17	0	-1	16	-1	3
62	83	0	-1	16	-1	-1
63	31	0	-1	17	0	-1
64	65	0	-1	17	-1	-1
65	37	0	-1	18	6	-1
66	9	0	-1	18	-1	-1
67	9	0	-1	18	-1	1
68	9	0	-1	18	-1	-1
69	68	0	-1	18	-1	-1
70	69	0	-1	18	-1	-1
71	49	0	-1	19	-1	-1
72	80	0	-1	19	-1	-1
73	84	0	-1	19	-1	-1
74	42	0	-1	20	1	-1
75	17	0	-1	20	-1	3
76	1	0	-1	20	-1	0
77	74	0	-1	20	-1	-1
78	72	0	-1	20	-1	-1
79	48	0	-1	21	-1	-1
80	21	0	-1	21	-1	4
81	11	0	-1	21	-1	2
82	7	0	-1	21	-1	1
83	78	0	-1	21	-1	-1
84	80	0	-1	21	-1	-1
85	47	0	-1	22	1	-1
86	17	0	-1	22	-1	3
87	35	0	-1	23	0	-1
88	2	0	-1	23	-1	0
89	7	0	-1	23	-1	1
90	3	0	-1	23	-1	0
91	37	0	-1	24	-1	-1
92	40	0	-1	24	-1	-1
93	1	0	-1	24	-1	0
94	73	0	-1	24	-1	-1
95	75	0	-1	24	-1	-1
96	32	0	-1	25	5	-1
97	3	0	-1	25	-1	0
98	7	0	-1	25	-1	1
99	64	0	-1	25	1	-1
100	67	0	-1	25	-1	-1
101	32	0	-1	26	-1	-1
102	64	0	-1	26	1	-1
103	46	0	-1	27	6	-1
104	34	0	-1	27	2	-1
105	6	0	-1	27	-1	1
106	4	0	-1	27	-1	0
107	81	0	-1	27	-1	-1
