id	age	apartment	home	family	office	school
0	34	0	-1	0	-1	-1
1	36	0	-1	0	0	-1
2	6	0	-1	0	-1	-1
3	3	0	-1	0	-1	-1
4	31	0	-1	1	5	-1
5	3	0	-1	1	-1	-1
6	5	0	-1	1	-1	-1
7	49	0	-1	2	1	-1
8	13	0	-1	2	-1	-1
9	14	0	-1	2	-1	2
10	80	0	-1	2	-1	-1
11	81	0	-1	2	-1	-1
12	38	0	-1	3	3	-1
13	42	0	-1	3	-1	-1
14	72	0	-1	3	-1	-1
15	73	0	-1	3	-1	-1
16	43	0	-1	4	-1	-1
17	45	0	-1	4	-1	-1
18	16	0	-1	4	-1	3
19	7	0	-1	4	-1	-1
20	40	0	-1	5	1	-1
21	43	0	-1	6	7	-1
22	7	0	-1	6	-1	-1
23	16	0	-1	6	-1	-1
24	77	0	-1	6	-1	-1
25	76	0	-1	6	-1	-1
26	38	0	-1	7	-1	-1
27	50	0	-1	7	7	-1
28	7	0	-1	7	-1	-1
29	6	0	-1	7	-1	-1
30	7	0	-1	7	-1	-1
31	36	0	-1	8	4	-1
32	6	0	-1	8	-1	1
33	3	0	-1	8	-1	-1
34	48	0	-1	9	5	-1
35	10	0	-1	9	-1	-1
36	78	0	-1	9	-1	-1
37	78	0	-1	9	-1	-1
38	49	0	-1	10	7	-1
39	20	0	-1	10	-1	-1
40	3	0	-1	10	-1	-1
41	13	0	-1	10	-1	2
42	84	0	-1	10	-1	-1
43	80	0	-1	10	-1	-1
44	34	0	-1	11	6	-1
45	44	0	-1	11	0	-1
46	74	0	-1	11	-1	-1
47	74	0	-1	11	-1	-1
48	31	0	-1	12	3	-1
49	50	0	-1	12	-1	-1
50	4	0	-1	12	-1	-1
51	1	0	-1	12	-1	-1
52	30	0	-1	13	-1	-1
53	50	0	-1	13	6	-1
54	1	0	-1	13	-1	-1
55	2	0	-1	13	-1	-1
56	1	0	-1	13	-1	-1
57	80	0	-1	13	-1	-1
58	84	0	-1	13	-1	-1
59	41	0	-1	14	-1	-1
60	36	0	-1	14	5	-1
61	6	0	-1	14	-1	-1
62	72	0	-1	14	-1	-1
63	74	0	-1	14	-1	-1
64	41	0	-1	15	-1	-1
65	6	0	-1	15	-1	-1
66	74	0	-1	15	-1	-1
67	74	0	-1	15	-1	-1
68	48	0	-1	16	1	-1
69	41	0	-1	16	0	-1
70	10	0	-1	16	-1	-1
71	6	0	-1	16	-1	-1
72	79	0	-1	16	-1	-1
73	82	0	-1	16	-1	-1
74	48	0	-1	17	4	-1
75	50	0	-1	17	3	-1
76	18	0	-1	17	-1	-1
77	5	0	-1	17	-1	-1
78	35	0	-1	18	3	-1
79	30	0	-1	18	-1	-1
80	2	0	-1	18	-1	-1
81	1	0	-1	18	-1	-1
82	34	0	-1	19	4	-1
83	5	0	-1	19	-1	-1
84	3	0	-1	19	-1	-1
85	64	0	-1	19	7	-1
86	41	0	-1	20	7	-1
87	4	0	-1	20	-1	-1
88	47	0	-1	21	3	-1
89	18	0	-1	21	-1	-1
90	6	0	-1	21	-1	-1
91	78	0	-1	21	-1	-1
92	79	0	-1	21	-1	-1
93	30	0	-1	22	-1	-1
94	2	0	-1	22	-1	-1
95	2	0	-1	22	-1	-1
96	2	0	-1	22	-1	-1
97	60	0	-1	22	-1	-1
98	49	0	-1	23	6	-1
99	5	0	-1	23	-1	-1
100	15	0	-1	23	-1	2
101	12	0	-1	23	-1	-1
102	49	0	-1	24	4	-1
103	43	0	-1	24	5	-1
104	3	0	-1	24	-1	-1
105	13	0	-1	24	-1	2
106	3	0	-1	24	-1	-1
107	41	0	-1	25	0	-1
108	6	0	-1	25	-1	-1
109	43	0	-1	26	-1	-1
110	42	0	-1	26	-1	-1
111	5	0	-1	26	-1	-1
112	14	0	-1	26	-1	2
113	8	0	-1	26	-1	-1
114	77	0	-1	26	-1	-1
115	33	0	-1	27	7	-1
116	5	0	-1	27	-1	-1
117	2	0	-1	27	-1	-1
118	4	0	-1	27	-1	-1
119	68	0	-1	27	-1	-1
120	63	0	-1	27	0	-1
121	32	0	-1	28	-1	-1
122	3	0	-1	28	-1	-1
123	1	0	-1	28	-1	-1
124	50	0	-1	29	-1	-1
125	41	0	-1	29	4	-1
126	11	0	-1	29	-1	2
127	83	0	-1	29	-1	-1
128	83	0	-1	29	-1	-1
129	46	1	-1	30	2	-1
130	8	1	-1	30	-1	-1
131	76	1	-1	30	-1	-1
132	80	1	-1	30	-1	-1
133	41	1	-1	31	-1	-1
134	13	1	-1	31	-1	2
135	50	1	-1	32	-1	-1
136	3	1	-1	32	-1	-1
137	22	1	-1	32	-1	4
138	84	1	-1	32	-1	-1
139	85	1	-1	32	-1	-1
140	44	1	-1	33	-1	-1
141	11	1	-1	33	-1	2
142	36	1	-1	34	0	-1
143	3	1	-1	34	-1	-1
144	4	1	-1	34	-1	-1
145	38	1	-1	35	4	-1
146	68	1	-1	35	-1	-1
147	68	1	-1	35	-1	-1
148	50	1	-1	36	3	-1
149	50	1	-1	36	-1	-1
150	24	1	-1	36	-1	4
151	18	1	-1	36	-1	4
152	44	1	-1	37	1	-1
153	5	1	-1	37	-1	-1
154	6	1	-1	37	-1	-1
155	46	1	-1	38	-1	-1
156	33	1	-1	38	5	-1
157	1	1	-1	38	-1	-1
158	4	1	-1	38	-1	-1
159	79	1	-1	38	-1	-1
160	81	1	-1	38	-1	-1
161	40	1	-1	39	0	-1
162	49	1	-1	39	7	-1
163	7	1	-1	39	-1	-1
164	46	1	-1	40	-1	-1
165	39	1	-1	40	-1	-1
166	35	1	-1	41	2	-1
167	2	1	-1	41	-1	-1
168	4	1	-1	41	-1	-1
169	49	1	-1	42	-1	-1
170	20	1	-1	42	-1	4
171	20	1	-1	42	-1	4
172	49	1	-1	43	2	-1
173	9	1	-1	43	-1	-1
174	82	1	-1	43	-1	-1
175	79	1	-1	43	-1	-1
176	34	1	-1	44	-1	-1
177	33	1	-1	44	6	-1
178	5	1	-1	44	-1	-1
179	2	1	-1	44	-1	-1
180	33	1	-1	45	-1	-1
181	2	1	-1	45	-1	-1
182	4	1	-1	45	-1	-1
183	46	1	-1	46	1	-1
184	15	1	-1	46	-1	2
185	2	1	-1	46	-1	-1
186	34	1	-1	47	-1	-1
187	4	1	-1	47	-1	-1
188	65	1	-1	47	-1	-1
189	64	1	-1	47	-1	-1
190	46	1	-1	48	1	-1
191	9	1	-1	48	-1	-1
192	49	1	-1	49	0	-1
193	13	1	-1	49	-1	2
194	33	1	-1	50	-1	-1
195	31	1	-1	51	-1	-1
196	6	1	-1	51	-1	-1
197	40	1	-1	52	-1	-1
198	14	1	-1	52	-1	2
199	41	1	-1	53	3	-1
200	47	1	-1	53	-1	-1
201	10	1	-1	53	-1	-1
202	14	1	-1	53	-1	2
203	47	1	-1	54	-1	-1
204	50	1	-1	54	-1	-1
205	12	1	-1	54	-1	2
206	1	1	-1	54	-1	-1
207	38	1	-1	55	5	-1
208	2	1	-1	55	-1	-1
209	69	1	-1	55	-1	-1
210	46	1	-1	56	-1	-1
211	11	1	-1	56	-1	2
212	14	1	-1	56	-1	2
213	47	1	-1	57	-1	-1
214	31	1	-1	57	-1	-1
215	81	1	-1	57	-1	-1
216	80	1	-1	57	-1	-1
217	42	1	-1	58	-1	-1
218	6	1	-1	58	-1	-1
219	46	1	-1	59	-1	-1
220	38	1	-1	59	7	-1
221	11	1	-1	59	-1	2
222	8	1	-1	59	-1	-1
223	77	1	-1	59	-1	-1
224	77	1	-1	59	-1	-1
225	41	2	-1	60	5	-1
226	33	2	-1	60	-1	-1
227	6	2	-1	60	-1	-1
228	3	2	-1	60	-1	-1
229	73	2	-1	60	-1	-1
230	73	2	-1	60	-1	-1
231	47	2	-1	61	-1	-1
232	2	2	-1	61	-1	-1
233	80	2	-1	61	-1	-1
234	47	2	-1	62	7	-1
235	9	2	-1	62	-1	-1
236	9	2	-1	62	-1	-1
237	78	2	-1	62	-1	-1
238	33	2	-1	63	7	-1
239	48	2	-1	63	-1	-1
240	1	2	-1	63	-1	-1
241	2	2	-1	63	-1	-1
242	82	2	-1	63	-1	-1
243	80	2	-1	63	-1	-1
244	33	2	-1	64	1	-1
245	4	2	-1	64	-1	-1
246	3	2	-1	64	-1	-1
247	63	2	-1	64	-1	-1
248	63	2	-1	64	-1	-1
249	41	2	-1	65	-1	-1
250	10	2	-1	65	-1	-1
251	3	2	-1	65	-1	-1
252	37	2	-1	66	5	-1
253	2	2	-1	66	-1	-1
254	7	2	-1	66	-1	-1
255	72	2	-1	66	-1	-1
256	70	2	-1	66	-1	-1
257	47	2	-1	67	-1	-1
258	47	2	-1	67	0	-1
259	37	2	-1	68	6	-1
260	7	2	-1	68	-1	-1
261	5	2	-1	68	-1	-1
262	41	2	-1	69	4	-1
263	30	2	-1	70	6	-1
264	1	2	-1	70	-1	-1
265	64	2	-1	70	2	-1
266	61	2	-1	70	5	-1
267	30	2	-1	71	1	-1
268	31	2	-1	71	3	-1
269	3	2	-1	71	-1	-1
270	63	2	-1	71	4	-1
271	64	2	-1	71	2	-1
272	35	2	-1	72	7	-1
273	3	2	-1	72	-1	-1
274	8	2	-1	72	-1	-1
275	40	2	-1	73	5	-1
276	2	2	-1	73	-1	-1
277	71	2	-1	73	-1	-1
278	30	2	-1	74	-1	-1
279	49	2	-1	74	7	-1
280	2	2	-1	74	-1	-1
281	84	2	-1	74	-1	-1
282	79	2	-1	74	-1	-1
283	50	2	-1	75	5	-1
284	36	2	-1	76	-1	-1
285	2	2	-1	76	-1	-1
286	9	2	-1	76	-1	-1
287	3	2	-1	76	-1	-1
288	70	2	-1	76	-1	-1
289	68	2	-1	76	-1	-1
290	46	2	-1	77	0	-1
291	4	2	-1	77	-1	-1
292	19	2	-1	77	-1	4
293	79	2	-1	77	-1	-1
294	76	2	-1	77	-1	-1
295	42	2	-1	78	3	-1
296	45	2	-1	78	-1	-1
297	44	2	-1	79	-1	-1
298	15	2	-1	79	-1	2
299	14	2	-1	79	-1	2
300	32	2	-1	80	5	-1
301	63	2	-1	80	5	-1
302	66	2	-1	80	-1	-1
303	43	2	-1	81	1	-1
304	15	2	-1	81	-1	2
305	78	2	-1	81	-1	-1
306	43	2	-1	82	7	-1
307	14	2	-1	82	-1	2
308	1	2	-1	82	-1	-1
309	73	2	-1	82	-1	-1
