timestamp,p1,p2
1,42,67
1,3,68
1,30,15
1,70,5
1,11,5
1,22,27
1,26,72
1,52,30
1,12,37
1,71,32
1,62,48
1,72,46
1,76,0
1,13,32
1,25,68
1,40,17
1,1,61
1,27,3
1,32,25
1,41,51
1,37,9
1,45,3
1,31,35
1,15,2
1,73,35
1,76,15
1,42,44
1,65,45
1,73,20
1,38,39
1,38,14
1,60,49
1,26,56
1,63,61
1,74,14
1,3,49
1,45,12
1,48,47
1,46,18
1,7,71
1,10,74
1,61,68
1,44,69
1,3,31
1,18,35
1,39,42
1,27,53
1,18,14
1,66,18
1,4,20
1,26,38
1,29,20
1,8,11
1,56,1
1,65,61
1,20,33
1,34,66
1,25,47
1,42,13
1,26,40
1,50,76
1,4,61
1,27,55
1,60,15
1,76,12
1,23,19
1,62,45
1,70,69
1,20,32
1,55,23
1,60,63
1,58,34
1,39,26
1,40,66
1,0,65
1,67,73
1,56,77
1,54,23
1,83,84
1,107,135
1,78,110
1,146,109
1,109,79
1,125,121
1,79,136
1,127,115
1,101,134
1,122,91
1,133,113
1,130,94
1,131,81
1,128,116
1,93,145
1,143,144
1,95,113
1,137,109
1,114,79
1,83,88
1,136,97
1,119,105
1,118,146
1,125,115
1,101,97
1,101,91
1,79,99
1,146,126
1,110,104
1,90,99
1,108,108
1,141,113
1,102,136
1,118,141
1,144,129
1,111,128
1,89,87
1,82,142
1,107,83
1,112,91
1,135,80
1,135,104
1,99,104
1,118,111
1,97,138
1,124,139
1,109,88
1,86,122
1,136,87
1,93,88
1,119,143
1,85,128
1,89,94
1,110,123
1,118,129
1,114,103
1,89,138
1,78,108
1,100,110
1,109,94
1,90,107
1,144,126
1,88,89
1,112,135
1,91,85
1,116,93
1,121,134
1,133,112
1,142,109
2,93,40
2,127,93
2,93,63
2,40,176
2,130,127
2,99,127
2,63,40
2,100,40
2,99,40
2,100,40
2,40,40
2,63,127
2,135,143
2,49,143
2,178,50
2,111,111
2,49,143
2,49,49
2,111,50
2,178,143
2,143,111
2,89,121
2,78,92
2,184,184
2,78,89
2,16,15
2,78,89
2,184,15
2,15,78
2,121,121
2,16,89
2,104,11
2,11,148
2,158,97
2,104,185
2,166,166
2,59,172
2,158,172
2,172,172
2,104,158
2,60,158
2,172,172
2,185,104
2,148,104
2,97,97
2,185,11
2,185,11
2,168,28
2,69,149
2,51,113
2,73,179
2,51,168
2,79,61
2,32,113
2,129,79
2,150,6
2,132,137
2,31,61
2,105,19
2,102,138
2,58,69
2,133,90
2,165,82
2,161,90
2,139,19
2,149,186
2,168,131
2,28,150
2,90,137
2,21,95
2,31,19
2,102,137
2,137,150
2,7,164
2,139,133
2,139,186
2,73,21
2,21,51
2,74,74
2,6,95
2,87,132
2,161,139
2,137,94
2,61,164
2,90,95
2,139,19
2,124,137
2,110,129
2,131,51
2,150,58
2,164,131
2,149,87
2,131,73
2,161,90
2,139,74
2,165,79
2,62,51
2,113,161
2,19,131
2,19,102
2,69,7
2,139,102
2,138,29
2,129,129
2,110,165
2,19,138
2,73,124
2,133,7
2,90,73
2,90,6
2,74,137
2,105,69
2,51,131
2,74,28
2,19,133
2,87,95
2,94,110
2,168,124
2,31,124
2,73,137
2,113,137
2,19,87
2,161,51
2,161,139
2,150,129
2,132,164
2,137,58
2,87,19
2,61,168
2,80,20
2,1,112
2,66,91
2,169,77
2,169,85
2,122,77
2,122,20
2,65,101
2,85,66
2,116,122
2,2,183
2,141,128
2,122,128
2,77,187
2,66,77
2,55,122
2,85,85
2,55,187
2,20,35
2,141,128
2,141,46
2,187,80
2,91,122
2,85,77
2,128,55
2,116,125
2,77,45
2,65,85
2,101,141
2,187,116
2,35,65
2,2,46
2,80,128
2,183,128
2,66,183
2,183,141
2,112,55
2,91,142
2,101,65
2,35,122
2,125,160
2,42,35
2,20,141
2,35,1
2,55,42
2,142,141
2,122,20
2,183,55
2,122,112
2,1,85
2,1,66
2,125,35
2,173,42
2,187,173
2,1,169
2,112,20
2,180,36
2,145,36
2,155,144
2,86,12
2,12,23
2,98,98
2,155,144
2,12,145
2,98,12
2,12,23
2,155,36
2,36,180
2,145,86
2,145,98
2,98,23
2,145,36
2,98,144
2,144,36
2,118,57
2,118,118
2,118,118
2,57,57
2,3,3
2,3,3
3,158,58
3,140,12
3,79,52
3,50,72
3,93,70
3,31,144
3,164,52
3,154,59
3,113,69
3,58,169
3,164,117
3,131,183
